worker_id,state,labour_category,contracted_wage,age,gender,migration_status,years_of_experience,feedback_score,job_type,timestamp
1,MEGHALAYA,No Job,0,51,Male,Permanent Migrant,0,0,No Job,01-06-2025
1,MEGHALAYA,No Job,0,51,Male,Permanent Migrant,0,0,No Job,02-06-2025
1,MEGHALAYA,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)",1912,51,Male,Permanent Migrant,6,2.93,Major,03-06-2025
1,MEGHALAYA,Fishermen-coastal/deep-sea,4086,51,Male,Permanent Migrant,2,3.64,Secondary,04-06-2025
1,MEGHALAYA,Fishermen-coastal/deep-sea,3893,51,Male,Permanent Migrant,4,2.57,Secondary,05-06-2025
1,MEGHALAYA,No Job,0,51,Male,Permanent Migrant,0,0,No Job,06-06-2025
1,MEGHALAYA,No Job,0,51,Male,Permanent Migrant,0,0,No Job,07-06-2025
1,MEGHALAYA,No Job,0,51,Male,Permanent Migrant,0,0,No Job,08-06-2025
1,MEGHALAYA,Handicraft workers,4496,51,Male,Permanent Migrant,15,2.86,Secondary,09-06-2025
1,MEGHALAYA,No Job,0,51,Male,Permanent Migrant,0,0,No Job,10-06-2025
1,MEGHALAYA,Handicraft workers,2997,51,Male,Permanent Migrant,9,3.63,Secondary,11-06-2025
1,MEGHALAYA,Plumber,2578,51,Male,Permanent Migrant,15,4.29,Secondary,12-06-2025
1,MEGHALAYA,Harvesting/Winnowing/Threshing workers,2231,51,Male,Permanent Migrant,10,3.12,Secondary,13-06-2025
1,MEGHALAYA,Plumber,2808,51,Male,Permanent Migrant,15,4.09,Secondary,14-06-2025
1,MEGHALAYA,"Animal husbandry workers (including poultry workers, dairy workers & herdsman)",4771,51,Male,Permanent Migrant,4,3.07,Major,15-06-2025
1,MEGHALAYA,Fishermen-coastal/deep-sea,4952,51,Male,Permanent Migrant,2,3.64,Secondary,16-06-2025
1,MEGHALAYA,"Plant protection workers (applying pesticides, treating seeds, etc.)",3495,51,Male,Permanent Migrant,2,2.95,Secondary,17-06-2025
